# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 0
58 0.0317936502397060 0.0415718406438828 -0.7932376265525818 0.6066588759422302 0.0000001347989951 0.0000001396983862 4.1999416351318359 1 frame_058.png

59 0.0744185522198677 0.0965091213583946 -0.7860039472579956 0.6060904264450073 -0.0000000738245376 0.0000001303851604 4.1956329345703125 1 frame_059.png

60 0.1171165481209755 0.1506380140781403 -0.7749649882316589 0.6025124192237854 0.0000003736009830 0.0000017136335373 4.1915903091430664 1 frame_060.png

61 0.1596738696098328 0.2036946415901184 -0.7601990103721619 0.5959112644195557 -0.0000007427872788 0.0000003427267075 4.1878132820129395 1 frame_061.png

62 0.2018756270408630 0.2554228603839874 -0.7418019771575928 0.5862893462181091 -0.0000000467959893 0.0000003576278687 4.1843028068542480 1 frame_062.png

63 0.2435059547424316 0.3055742681026459 -0.7198879718780518 0.5736640691757202 0.0000000556725901 0.0000004470348358 4.1810598373413086 1 frame_063.png

64 0.2843499779701233 0.3539102971553802 -0.6945879459381104 0.5580682754516602 0.0000000434791971 -0.0000005066394806 4.1780858039855957 1 frame_064.png

65 0.3241946399211884 0.4002023637294769 -0.6660488247871399 0.5395506024360657 -0.0000010165932736 -0.0000000596046448 4.1753802299499512 1 frame_065.png

66 0.3628298044204712 0.4442346990108490 -0.6344328522682190 0.5181746482849121 0.0000003389453695 0.0000001862645149 4.1729431152343750 1 frame_066.png

67 0.4000490903854370 0.4858032464981079 -0.5999171137809753 0.4940195977687836 -0.0000005824498430 0.0000003352761269 4.1707768440246582 1 frame_067.png

68 0.4356516897678375 0.5247182846069336 -0.5626915693283081 0.4671793282032013 -0.0000007790043810 0.0000006412155926 4.1688795089721680 1 frame_068.png

69 0.4694427251815796 0.5608046054840088 -0.5229586958885193 0.4377623498439789 0.0000007647925031 -0.0000001732259989 4.1672534942626953 1 frame_069.png

70 0.5012347698211670 0.5939018726348877 -0.4809323847293854 0.4058919250965118 -0.0000003349724693 0.0000004805624485 4.1658983230590820 1 frame_070.png

71 0.5308486819267273 0.6238666772842407 -0.4368362426757812 0.3717043697834015 -0.0000009889630519 0.0000003576278687 4.1648144721984863 1 frame_071.png

72 0.5581148862838745 0.6505717635154724 -0.3909029364585876 0.3353492319583893 -0.0000001107214942 -0.0000005215406418 4.1640019416809082 1 frame_072.png

73 0.5828739404678345 0.6739069819450378 -0.3433727622032166 0.2969891130924225 -0.0000002407224997 -0.0000000745058060 4.1634602546691895 1 frame_073.png

74 0.6049777865409851 0.6937802433967590 -0.2944922447204590 0.2567978799343109 -0.0000002716027154 0.0000005960464478 4.1631898880004883 1 frame_074.png

75 0.6242905259132385 0.7101173400878906 -0.2445130795240402 0.2149605005979538 -0.0000004553969859 0.0000010579824448 4.1631922721862793 1 frame_075.png

76 0.6406890749931335 0.7228625416755676 -0.1936904042959213 0.1716721057891846 0.0000001104471252 -0.0000007674098015 4.1634654998779297 1 frame_076.png

77 0.6540645360946655 0.7319778203964233 -0.1422820985317230 0.1271372586488724 -0.0000002185444146 -0.0000000074505806 4.1640105247497559 1 frame_077.png

78 0.6643220186233521 0.7374442815780640 -0.0905467942357063 0.0815684869885445 -0.0000000467434305 0.0000015012919903 4.1648263931274414 1 frame_078.png

79 0.6713816523551941 0.7392615675926208 -0.0387430600821972 0.0351856201887131 -0.0000000274360374 -0.0000002239830792 4.1659154891967773 1 frame_079.png

